Start Time,Enter,Exit
"	03/17 12:00",117,65
"	03/17 13:00",160,78
"	03/17 14:00",162,113
"	03/17 15:00",187,82
"	03/17 16:00",122,55
"	03/17 17:00",163,83
"	03/17 18:00",193,98
"	03/17 19:00",194,90
"	03/17 20:00",128,58
"	03/17 21:00",80,47
"	03/17 22:00",12,4
"	03/17 23:00",3,0
"	03/18 00:00",0,1
"	03/18 01:00",0,0
"	03/18 02:00",0,0
"	03/18 03:00",0,0
"	03/18 04:00",0,0
"	03/18 05:00",1,1
"	03/18 06:00",2,0
"	03/18 07:00",3,1
"	03/18 08:00",4,0
"	03/18 09:00",12,10
"	03/18 10:00",51,27
"	03/18 11:00",94,48
